date_time,coin_name,id,last,lowestAsk,highestBid,percentChange,baseVolume,quoteVolume,isFrozen,high24hr,low24hr
1499805784,BTC_XMR,114,0.01600000,0.01604590,0.01600001,-0.07777790,2907.41995177,179704.49573044,0,0.01745667,0.01510000
1499805784,BTC_XPM,116,0.00013295,0.00013429,0.00013335,-0.17916898,64.89277016,458205.48635327,0,0.00016190,0.00012627
1499805784,BTC_XRP,117,0.00007429,0.00007419,0.00007416,-0.13039915,23479.99775822,313692901.11239904,0,0.00008691,0.00006000
1499805784,USDT_BTC,121,2280.00000005,2282.91359586,2280.00000006,-0.03594080,65635236.15167528,28623.79944047,0,2375.42516200,2183.00000001
1499805784,USDT_DASH,122,157.00000000,157.00000000,156.10000143,-0.13761810,2865429.12298137,17378.43473546,0,183.09000000,148.71577449
1499805784,USDT_LTC,123,42.84000000,42.84000000,42.83020000,-0.04998236,12503425.40762680,289444.16193608,0,46.23701940,39.95000001
1499805784,USDT_NXT,124,0.07663000,0.07662999,0.07560000,-0.16651321,1152953.74665976,13998401.72331279,0,0.09311200,0.07100000
1499805784,USDT_STR,125,0.01368200,0.01368200,0.01360000,-0.18057136,1833726.09838100,131812144.62140279,0,0.01679764,0.01199999
1499805784,USDT_XMR,126,36.53820001,36.55360000,36.53820001,-0.09804937,1797368.01239294,48149.94761279,0,40.94340000,34.18689204
1499805784,USDT_XRP,127,0.17000000,0.16999992,0.16800001,-0.15836871,6414915.40264165,37032384.41212464,0,0.20478129,0.14035303
1499805784,XMR_BCN,129,0.00002756,0.00002885,0.00002740,-0.06544591,22012.10088809,749238735.13812470,0,0.00007300,0.00001797
1499805784,XMR_BLK,130,0.00546462,0.00546462,0.00541315,-0.09158884,549.51088455,96533.74739873,0,0.00611999,0.00516608
1499805784,XMR_BTCD,131,0.96717837,0.96717837,0.95939849,-0.11743679,6640.10180939,5976.81887679,0,1.20593781,0.94211076
1499805784,XMR_DASH,132,4.35632851,4.35632867,4.25830049,-0.02347746,1169.91755690,265.01369600,0,4.60766643,4.20010000
1499805784,XMR_LTC,137,1.16015084,1.17446974,1.16100000,0.05157616,1613.27967832,1410.88048965,0,1.21335225,1.08395682
1499805784,XMR_MAID,138,0.00770485,0.00786792,0.00770048,-0.12365218,4911.62434200,564294.86143765,0,0.00929315,0.00703566
1499805784,XMR_NXT,140,0.00208100,0.00212284,0.00208100,-0.07610891,1671.65893949,793814.02070838,0,0.00232476,0.00196900
1499805784,BTC_ETH,148,0.08081309,0.08081309,0.08081300,-0.10161620,73918.67302254,885938.20994781,0,0.09099999,0.07428721
1499805784,USDT_ETH,149,184.70186572,184.70186572,184.15100006,-0.12922629,50894581.88344006,263092.70525771,0,214.99999998,170.00000000
1499805784,BTC_SC,150,0.00000292,0.00000294,0.00000292,-0.12312312,4875.69204208,1661728714.16264105,0,0.00000336,0.00000253
1499805784,BTC_BCY,151,0.00014040,0.00014248,0.00014148,-0.15360501,81.05108506,557798.38454910,0,0.00016499,0.00013250
1499805784,BTC_EXP,153,0.00057290,0.00057290,0.00057000,-0.12581063,85.63402360,143906.83282082,0,0.00066374,0.00055602
1499805784,BTC_FCT,155,0.00600000,0.00602490,0.00600000,-0.20284954,4031.82992535,631526.52252206,0,0.00769568,0.00530315
1499805784,BTC_RADS,158,0.00116175,0.00116175,0.00116044,-0.16730577,64.45675595,53306.11710297,0,0.00139517,0.00106344
1499805784,BTC_AMP,160,0.00007191,0.00007186,0.00007176,-0.21461336,336.22826538,4305263.49751075,0,0.00009207,0.00006729
1499805784,BTC_DCR,162,0.01095220,0.01095109,0.01089609,-0.07744300,953.29353550,82789.75498672,0,0.01350052,0.01045256
1499805784,BTC_LSK,163,0.00059767,0.00059854,0.00058975,-0.16317329,1039.21603613,1645037.13699419,0,0.00071995,0.00055117
1499805784,ETH_LSK,166,0.00741214,0.00741213,0.00727040,-0.07346165,507.04190586,68695.74621240,0,0.00809842,0.00638913
1499805784,BTC_LBC,167,0.00011660,0.00011817,0.00011659,-0.16199511,1031.98555342,8410252.45567977,0,0.00014885,0.00010143
1499805784,BTC_STEEM,168,0.00043682,0.00043682,0.00043028,-0.15994538,1035.72988225,2185783.37627786,0,0.00055765,0.00036250
1499805784,ETH_STEEM,169,0.00539890,0.00539992,0.00538000,-0.07543424,1717.85848609,303458.43110809,0,0.00648414,0.00510000
1499805784,BTC_SBD,170,0.00039573,0.00039573,0.00039547,0.06951163,192.48623164,461495.14007487,0,0.00050000,0.00036005
1499805784,BTC_ETC,171,0.00583578,0.00585422,0.00583002,-0.07243718,5482.40168464,916731.38218486,0,0.00645155,0.00551770
1499805784,ETH_ETC,172,0.07223785,0.07223785,0.07214383,0.03211673,8873.58015308,124440.04182652,0,0.07520000,0.06571139
1499805784,USDT_ETC,173,13.39989996,13.39989987,13.29400001,-0.09460200,5796896.31831287,424161.03516710,0,15.15000000,12.32723764
1499805784,BTC_REP,174,0.00712553,0.00719488,0.00712553,-0.01588009,768.49759548,108172.63030012,0,0.00769754,0.00630121
1499805784,USDT_REP,175,16.01905342,16.38195275,16.03905522,-0.06306579,804690.91494657,48910.42601295,0,18.12249189,14.40688729
1499805784,ETH_REP,176,0.08717772,0.08861977,0.08658942,0.08194005,1854.85505463,22143.40087440,0,0.09179712,0.07800004
1499805784,BTC_ARDR,177,0.00003954,0.00003953,0.00003952,-0.12869105,322.84365045,7554575.77248784,0,0.00004655,0.00003908
1499805784,BTC_ZEC,178,0.07440001,0.07482004,0.07441003,-0.16404511,2054.50019925,25824.23034821,0,0.08937775,0.07164048
1499805784,ETH_ZEC,179,0.93808841,0.93039522,0.91779494,-0.06191153,7182.59910517,7631.12576507,0,1.00430895,0.91000000
1499805784,USDT_ZEC,180,170.01050031,171.99999986,170.01050032,-0.18694165,3148775.05114102,17027.08517394,0,211.50000000,162.00100003
1499805784,XMR_ZEC,181,4.64000000,4.69226780,4.64000000,-0.09711677,1068.68456137,217.53262281,0,5.19099979,4.64000000
1499805784,BTC_STRAT,182,0.00128505,0.00128675,0.00128502,-0.09158065,6199.44343741,5065785.57560531,0,0.00148000,0.00095134
1499805784,BTC_NXC,183,0.00005482,0.00005521,0.00005482,-0.21371199,45.23173137,747843.69027997,0,0.00006988,0.00004714
1499805784,BTC_PASC,184,0.00016204,0.00016202,0.00016035,-0.14711300,77.75643163,447450.48142481,0,0.00019381,0.00015485
1499805784,BTC_GNT,185,0.00010803,0.00010835,0.00010803,-0.09643693,2074.43066000,19323950.88465905,0,0.00012840,0.00008800
1499805784,ETH_GNT,186,0.00133600,0.00133600,0.00132431,0.01119428,6723.96712081,5223507.37855609,0,0.00155543,0.00113929
1499805784,BTC_GNO,187,0.08759999,0.08758995,0.08660054,-0.11818852,298.80039886,3195.18628170,0,0.10001003,0.08510001
